movie_id,tmdb_title,genre_ids,genres,genre_count,status,dataset_title
2,Ariel,"[35, 18, 10749, 80]","[""Comedy"", ""Drama"", ""Romance"", ""Crime""]",4,success,Ariel
3,Shadows in Paradise,"[35, 18, 10749]","[""Comedy"", ""Drama"", ""Romance""]",3,success,Shadows in Paradise
5,Four Rooms,[35],"[""Comedy""]",1,success,Four Rooms
6,Judgment Night,"[28, 80, 53]","[""Action"", ""Crime"", ""Thriller""]",3,success,Judgment Night
11,Star Wars,"[12, 28, 878]","[""Adventure"", ""Action"", ""Science Fiction""]",3,success,Star Wars
12,Finding Nemo,"[16, 10751, 12]","[""Animation"", ""Family"", ""Adventure""]",3,success,Finding Nemo
13,Forrest Gump,"[35, 18, 10749]","[""Comedy"", ""Drama"", ""Romance""]",3,success,Forrest Gump
14,American Beauty,[18],"[""Drama""]",1,success,American Beauty
15,Citizen Kane,"[9648, 18]","[""Mystery"", ""Drama""]",2,success,Citizen Kane
16,Dancer in the Dark,"[18, 80]","[""Drama"", ""Crime""]",2,success,Dancer in the Dark
18,The Fifth Element,"[878, 28, 12]","[""Science Fiction"", ""Action"", ""Adventure""]",3,success,The Fifth Element
19,Metropolis,"[18, 878]","[""Drama"", ""Science Fiction""]",2,success,Metropolis
20,My Life Without Me,"[18, 10749]","[""Drama"", ""Romance""]",2,success,My Life Without Me
22,Pirates of the Caribbean: The Curse of the Black Pearl,"[12, 14, 28]","[""Adventure"", ""Fantasy"", ""Action""]",3,success,Pirates of the Caribbean: The Curse of the Black Pearl
24,Kill Bill: Vol. 1,"[28, 80]","[""Action"", ""Crime""]",2,success,Kill Bill: Vol. 1
25,Jarhead,"[18, 10752]","[""Drama"", ""War""]",2,success,Jarhead
27,9 Songs,"[18, 10402, 10749]","[""Drama"", ""Music"", ""Romance""]",3,success,9 Songs
28,Apocalypse Now,"[18, 10752]","[""Drama"", ""War""]",2,success,Apocalypse Now
33,Unforgiven,[37],"[""Western""]",1,success,Unforgiven
35,The Simpsons Movie,"[16, 35, 10751]","[""Animation"", ""Comedy"", ""Family""]",3,success,The Simpsons Movie
38,Eternal Sunshine of the Spotless Mind,"[878, 18, 10749]","[""Science Fiction"", ""Drama"", ""Romance""]",3,success,Eternal Sunshine of the Spotless Mind
55,Amores Perros,"[18, 53]","[""Drama"", ""Thriller""]",2,success,Amores Perros
58,Pirates of the Caribbean: Dead Man's Chest,"[12, 14, 28]","[""Adventure"", ""Fantasy"", ""Action""]",3,success,Pirates of the Caribbean: Dead Man's Chest
59,A History of Violence,"[18, 53, 80]","[""Drama"", ""Thriller"", ""Crime""]",3,success,A History of Violence
62,2001: A Space Odyssey,"[878, 9648, 12]","[""Science Fiction"", ""Mystery"", ""Adventure""]",3,success,2001: A Space Odyssey
63,Twelve Monkeys,"[878, 53, 9648]","[""Science Fiction"", ""Thriller"", ""Mystery""]",3,success,Twelve Monkeys
64,Talk to Her,"[18, 10749]","[""Drama"", ""Romance""]",2,success,Talk to Her
65,8 Mile,"[18, 10402]","[""Drama"", ""Music""]",2,success,8 Mile
66,Absolute Power,"[80, 18, 28]","[""Crime"", ""Drama"", ""Action""]",3,success,Absolute Power
68,Brazil,"[35, 878]","[""Comedy"", ""Science Fiction""]",2,success,Brazil
69,Walk the Line,"[18, 10402, 10749]","[""Drama"", ""Music"", ""Romance""]",3,success,Walk the Line
70,Million Dollar Baby,[18],"[""Drama""]",1,success,Million Dollar Baby
71,Billy Elliot,"[18, 35, 10402]","[""Drama"", ""Comedy"", ""Music""]",3,success,Billy Elliot
73,American History X,[18],"[""Drama""]",1,success,American History X
74,War of the Worlds,"[12, 53, 878]","[""Adventure"", ""Thriller"", ""Science Fiction""]",3,success,War of the Worlds
75,Mars Attacks!,"[35, 14, 878]","[""Comedy"", ""Fantasy"", ""Science Fiction""]",3,success,Mars Attacks!
76,Before Sunrise,"[18, 10749]","[""Drama"", ""Romance""]",2,success,Before Sunrise
77,Memento,"[9648, 53]","[""Mystery"", ""Thriller""]",2,success,Memento
78,Blade Runner,"[878, 18, 53]","[""Science Fiction"", ""Drama"", ""Thriller""]",3,success,Blade Runner
79,Hero,"[18, 12, 28, 36]","[""Drama"", ""Adventure"", ""Action"", ""History""]",4,success,Hero
80,Before Sunset,"[18, 10749]","[""Drama"", ""Romance""]",2,success,Before Sunset
81,Warriors of the Wind,"[12, 16, 14]","[""Adventure"", ""Animation"", ""Fantasy""]",3,success,Nausicaä of the Valley of the Wind
82,Miami Vice,"[28, 80, 53]","[""Action"", ""Crime"", ""Thriller""]",3,success,Miami Vice
83,Open Water,"[27, 53]","[""Horror"", ""Thriller""]",2,success,Open Water
85,Raiders of the Lost Ark,"[12, 28]","[""Adventure"", ""Action""]",2,success,Raiders of the Lost Ark
87,Indiana Jones and the Temple of Doom,"[12, 28]","[""Adventure"", ""Action""]",2,success,Indiana Jones and the Temple of Doom
88,Dirty Dancing,"[18, 10402, 10749]","[""Drama"", ""Music"", ""Romance""]",3,success,Dirty Dancing
89,Indiana Jones and the Last Crusade,"[12, 28]","[""Adventure"", ""Action""]",2,success,Indiana Jones and the Last Crusade
90,Beverly Hills Cop,"[35, 80, 28]","[""Comedy"", ""Crime"", ""Action""]",3,success,Beverly Hills Cop
93,Anatomy of a Murder,"[80, 18, 9648]","[""Crime"", ""Drama"", ""Mystery""]",3,success,Anatomy of a Murder
95,Armageddon,"[28, 878, 12]","[""Action"", ""Science Fiction"", ""Adventure""]",3,success,Armageddon
96,Beverly Hills Cop II,"[28, 35, 80]","[""Action"", ""Comedy"", ""Crime""]",3,success,Beverly Hills Cop II
97,Tron,"[878, 28, 12]","[""Science Fiction"", ""Action"", ""Adventure""]",3,success,Tron
98,Gladiator,"[28, 18, 12]","[""Action"", ""Drama"", ""Adventure""]",3,success,Gladiator
99,All About My Mother,"[35, 18]","[""Comedy"", ""Drama""]",2,success,All About My Mother
100,"Lock, Stock and Two Smoking Barrels","[35, 80]","[""Comedy"", ""Crime""]",2,success,"Lock, Stock and Two Smoking Barrels"
101,Léon: The Professional,"[80, 18, 28]","[""Crime"", ""Drama"", ""Action""]",3,success,Léon: The Professional
103,Taxi Driver,"[80, 18]","[""Crime"", ""Drama""]",2,success,Taxi Driver
104,Run Lola Run,"[28, 18, 53]","[""Action"", ""Drama"", ""Thriller""]",3,success,Run Lola Run
105,Back to the Future,"[12, 35, 878]","[""Adventure"", ""Comedy"", ""Science Fiction""]",3,success,Back to the Future
106,Predator,"[878, 28, 12, 53]","[""Science Fiction"", ""Action"", ""Adventure"", ""Thriller""]",4,success,Predator
107,Snatch,"[80, 35]","[""Crime"", ""Comedy""]",2,success,Snatch
108,Three Colors: Blue,[18],"[""Drama""]",1,success,Three Colors: Blue
109,Three Colors: White,"[35, 18, 9648]","[""Comedy"", ""Drama"", ""Mystery""]",3,success,Three Colors: White
110,Three Colors: Red,"[18, 9648, 10749]","[""Drama"", ""Mystery"", ""Romance""]",3,success,Three Colors: Red
111,Scarface,"[28, 80, 18]","[""Action"", ""Crime"", ""Drama""]",3,success,Scarface
113,"Spring, Summer, Fall, Winter... and Spring",[18],"[""Drama""]",1,success,"Spring, Summer, Fall, Winter... and Spring"
114,Pretty Woman,"[10749, 35]","[""Romance"", ""Comedy""]",2,success,Pretty Woman
115,The Big Lebowski,"[35, 80]","[""Comedy"", ""Crime""]",2,success,The Big Lebowski
116,Match Point,"[18, 10749, 53]","[""Drama"", ""Romance"", ""Thriller""]",3,success,Match Point
117,The Untouchables,"[80, 36, 53]","[""Crime"", ""History"", ""Thriller""]",3,success,The Untouchables
118,Charlie and the Chocolate Factory,"[12, 35, 10751, 14]","[""Adventure"", ""Comedy"", ""Family"", ""Fantasy""]",4,success,Charlie and the Chocolate Factory
120,The Lord of the Rings: The Fellowship of the Ring,"[12, 14, 28]","[""Adventure"", ""Fantasy"", ""Action""]",3,success,The Lord of the Rings: The Fellowship of the Ring
121,The Lord of the Rings: The Two Towers,"[12, 14, 28]","[""Adventure"", ""Fantasy"", ""Action""]",3,success,The Lord of the Rings: The Two Towers
122,The Lord of the Rings: The Return of the King,"[12, 14, 28]","[""Adventure"", ""Fantasy"", ""Action""]",3,success,The Lord of the Rings: The Return of the King
123,The Lord of the Rings,"[12, 16, 14]","[""Adventure"", ""Animation"", ""Fantasy""]",3,success,The Lord of the Rings
128,Princess Mononoke,"[12, 14, 16]","[""Adventure"", ""Fantasy"", ""Animation""]",3,success,Princess Mononoke
129,Spirited Away,"[16, 10751, 14]","[""Animation"", ""Family"", ""Fantasy""]",3,success,Spirited Away
134,"O Brother, Where Art Thou?","[12, 35, 80]","[""Adventure"", ""Comedy"", ""Crime""]",3,success,"O Brother, Where Art Thou?"
136,Freaks,"[18, 27]","[""Drama"", ""Horror""]",2,success,Freaks
137,Groundhog Day,"[10749, 14, 35]","[""Romance"", ""Fantasy"", ""Comedy""]",3,success,Groundhog Day
138,Dracula,[27],"[""Horror""]",1,success,Dracula
140,Bad Education,"[18, 80]","[""Drama"", ""Crime""]",2,success,Bad Education
141,Donnie Darko,"[14, 18, 9648]","[""Fantasy"", ""Drama"", ""Mystery""]",3,success,Donnie Darko
142,Brokeback Mountain,"[18, 10749]","[""Drama"", ""Romance""]",2,success,Brokeback Mountain
143,All Quiet on the Western Front,"[18, 10752]","[""Drama"", ""War""]",2,success,All Quiet on the Western Front
144,Wings of Desire,"[18, 14, 10749]","[""Drama"", ""Fantasy"", ""Romance""]",3,success,Wings of Desire
145,Breaking the Waves,"[18, 10749]","[""Drama"", ""Romance""]",2,success,Breaking the Waves
146,"Crouching Tiger, Hidden Dragon","[12, 18, 28, 10749]","[""Adventure"", ""Drama"", ""Action"", ""Romance""]",4,success,"Crouching Tiger, Hidden Dragon"
147,The 400 Blows,[18],"[""Drama""]",1,success,The 400 Blows
149,Akira,"[16, 878, 28]","[""Animation"", ""Science Fiction"", ""Action""]",3,success,Akira
150,48 Hrs.,"[80, 28, 35]","[""Crime"", ""Action"", ""Comedy""]",3,success,48 Hrs.
152,Star Trek: The Motion Picture,"[878, 12, 9648]","[""Science Fiction"", ""Adventure"", ""Mystery""]",3,success,Star Trek: The Motion Picture
153,Lost in Translation,"[18, 35, 10749]","[""Drama"", ""Comedy"", ""Romance""]",3,success,Lost in Translation
154,Star Trek II: The Wrath of Khan,"[28, 12, 878, 53]","[""Action"", ""Adventure"", ""Science Fiction"", ""Thriller""]",4,success,Star Trek II: The Wrath of Khan
155,The Dark Knight,"[28, 80, 53]","[""Action"", ""Crime"", ""Thriller""]",3,success,The Dark Knight
157,Star Trek III: The Search for Spock,"[878, 28, 12, 53]","[""Science Fiction"", ""Action"", ""Adventure"", ""Thriller""]",4,success,Star Trek III: The Search for Spock
158,Knockin' on Heaven's Door,"[35, 80, 28, 18]","[""Comedy"", ""Crime"", ""Action"", ""Drama""]",4,success,Knockin' on Heaven's Door
160,The Arrival of a Train at La Ciotat,[36],"[""History""]",1,success,The Arrival of a Train at La Ciotat
161,Ocean's Eleven,"[53, 80]","[""Thriller"", ""Crime""]",2,success,Ocean's Eleven
162,Edward Scissorhands,"[14, 18, 10749]","[""Fantasy"", ""Drama"", ""Romance""]",3,success,Edward Scissorhands
163,Ocean's Twelve,"[53, 80]","[""Thriller"", ""Crime""]",2,success,Ocean's Twelve
